Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,   44, 260,4784, 288,13956, 760, 208
Hyper-V,   40, 196,5232, 224,14260, 760, 212
Hyper-V,   40, 184,4740, 232,13816, 772, 208
Hyper-V,   44, 184,4456, 228,13148, 780, 208
Hyper-V,   40, 184,4084, 232,12712, 780, 208
Hyper-V,   40, 188,4056, 224,13472, 776, 212
Hyper-V,   40, 360,7168, 232,18764, 776, 208
Hyper-V,   40, 192,4796, 228,14720, 756, 212
Hyper-V,   44, 192,3720, 228,14016,51564, 212
Hyper-V,   40, 232,5368, 228,14180, 768, 212
Hyper-V,   44, 196,4040, 228,13520, 772, 208
Hyper-V,   40, 192,3776, 224,12888, 792, 208
Hyper-V,   44, 192,3796, 232,12604, 776, 208
Hyper-V,   40, 196,4464, 232,12672, 772, 208
Hyper-V,   44, 424,6256, 224,14880, 776, 212
Hyper-V,   44, 188,4388, 224,13516, 760, 212
Hyper-V,   40, 180,4352, 228,13012, 780, 208
Hyper-V,   44, 192,5816, 224,15884, 760, 208
Hyper-V,   44, 192,5140, 228,14528, 776, 208
Hyper-V,   40, 192,4196, 228,13352, 776, 208
Hyper-V,   40, 192,5540, 228,14300, 760, 208
Hyper-V,   40, 196,4696, 224,13104, 772, 208
Hyper-V,   40, 196,4036, 232,12956, 772, 208
Hyper-V,   44, 308,4492, 224,14156, 772, 212
Hyper-V,   44, 188,4892, 224,14368, 764, 212
Hyper-V,   44, 232,4620, 288,14120, 760, 208
Hyper-V,   60, 256,4772, 224,14748, 756, 212
Hyper-V,   40, 192,4332, 224,14104, 756, 212
Hyper-V,   40, 232,4792, 300,14228, 764, 212
Hyper-V,   40, 196,4416, 240,14728, 752, 212
Hyper-V,   44, 192,4204, 232,13364, 776, 208
Hyper-V,   40, 192,3852, 228,12284, 772, 208
Hyper-V,   40, 196,3928, 224,12224, 772, 208
Hyper-V,   44, 192,3888, 224,12148, 776, 212
Hyper-V,   44, 188,4600, 224,13432, 772, 212
Hyper-V,   44, 192,4064, 232,12804, 772, 212
Hyper-V,   44, 192,3844, 228,12192, 772, 212
Hyper-V,   40, 192,3744, 224,12244, 780, 208
Hyper-V,   40, 248,5056, 224,13668, 760, 212
Hyper-V,   44, 252,4924, 232,13468, 772, 212
Hyper-V,   44, 192,4684, 228,13340, 776, 208
Hyper-V,   40, 192,4056, 224,12804, 768, 212
Hyper-V,   44, 188,4604, 224,13228, 760, 212
Hyper-V,   40, 196,5756, 232,13256, 776, 208
Hyper-V,   40, 308,6436, 224,14344, 772, 212
Hyper-V,   44, 196,4048, 228,13016, 776, 208
Hyper-V,   44, 188,4424, 228,53836, 784, 208
Hyper-V,   40, 236,5180, 284,13512, 756, 212
Hyper-V,   60, 196,4276, 240,13648, 756, 212
Hyper-V,   40, 196,4720, 228,13744, 772, 212
Hyper-V,   40, 196,4004, 224,13284, 772, 212
Hyper-V,   44, 188,4032, 232,12892, 772, 212
Hyper-V,   40, 192,3712, 224,12364, 772, 212
Hyper-V,   44, 188,3656, 224,12180, 776, 208
Hyper-V,   40, 196,5048, 232,13320, 772, 212
Hyper-V,   44, 196,4300, 228,12852, 776, 208
Hyper-V,   44, 192,4048, 232,12380, 772, 212
Hyper-V,   40, 196,3852, 224,12432, 772, 212
Hyper-V,   40, 192,5360, 224,13768, 764, 208
Hyper-V,   40, 184,4512, 224,13032, 776, 212
Hyper-V,   44, 200,4400, 232,12912, 776, 212
Hyper-V,   44, 188,4332, 228,13076, 760, 212
Hyper-V,   44, 196,4872, 232,13280, 768, 212
Hyper-V,   44, 200,4268, 224,12672, 772, 208
Hyper-V,   44, 192,4012, 224,12344, 772, 208
Hyper-V,   40, 196,3692, 224,12404, 772, 212
Hyper-V,   40, 196,3660, 228,12336, 768, 208
Hyper-V,   44, 180,4656, 232,13544, 776, 212
Hyper-V,   40, 184,4348, 228,13352, 776, 212
Hyper-V,   40, 196,4724, 224,15020, 776, 212
Hyper-V,   40, 424,8152, 224,17392, 756, 212
Hyper-V,   40, 364,6640, 232,16500, 776, 208
Hyper-V,   40, 192,4048, 224,14048, 780, 208
Hyper-V,   44, 188,4044, 228,13656, 772, 212
Hyper-V,   44, 188,4968, 224,15068, 768, 208
Hyper-V,   40, 220,4468, 228,13656, 776, 208
Hyper-V,   44, 184,3880, 224,13444, 780, 212
Hyper-V,   40, 184,3816, 224,12888, 776, 212
Hyper-V,   40, 188,3820, 224,12712, 776, 212
Hyper-V,   40, 196,4480, 228,14204, 760, 208
Hyper-V,   44, 192,4368, 228,12676, 756, 208
Hyper-V,   44, 192,4068, 252,12896, 772, 212
Hyper-V,   60, 192,3612, 224,12496, 752, 212
Hyper-V,   40, 252,5988, 288,15208, 760, 208
Hyper-V,   60, 196,5072, 224,13876, 752, 212
Hyper-V,   40, 192,4100, 224,13392, 748, 208
Hyper-V,   44, 188,5004, 232,13864, 776, 212
Hyper-V,   44, 184,4236, 228,13380, 776, 212
Hyper-V,   44, 188,3692, 224,12756, 780, 208
Hyper-V,   40, 188,327718, 344,16336, 764, 212
Hyper-V,   40, 180,4556, 224,13136, 776, 212
Hyper-V,   44, 192,4176, 228,13112, 776, 208
Hyper-V,   44, 188,4172, 224,98212, 788, 208
Hyper-V,   44, 212,4540, 224,13360, 756, 212
Hyper-V,   60, 192,4208, 228,12772, 752, 212
Hyper-V,   44, 200,3764, 224,12580, 756, 208
Hyper-V,   60, 192,3700, 228,12292, 752, 212
Hyper-V,   44, 188,4696, 228,12864, 756, 212
Hyper-V,   60, 192,4040, 228,12732, 752, 212
Hyper-V,   44, 196,3844, 224,12564, 760, 208
Hyper-V,   40, 200,3796, 224,12140, 756, 212
Hyper-V,   44, 192,3840, 228,11952, 752, 208
Hyper-V,   44, 192,3764, 224,12000, 772, 208
Hyper-V,   40, 192,4488, 228,55860, 784, 212
Hyper-V,   44, 192,4296, 228,13024, 756, 208
Hyper-V,   40, 192,3840, 228,12712, 756, 208
Hyper-V,   60, 200,3796, 228,12456, 752, 208
Hyper-V,   40, 196,3796, 224,12196, 756, 212
Hyper-V,   60, 200,3692, 224,12268, 752, 212
Hyper-V,   60, 196,3776, 228,12120, 756, 208
Hyper-V,   60, 196,3584, 224,12088, 752, 212
Hyper-V,   40, 192,3788, 224,12088, 756, 208
