Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,  148, 682,4502, 248,15718,1094, 848
Hyper-V,  148, 766,4502, 246,15754, 922, 852
Hyper-V,  148, 838,4502, 246,15698,1434, 844
Hyper-V,  148, 720,4502, 254,15798, 912, 842
Hyper-V,  148, 662,4510, 252,15686,1344, 858
Hyper-V,  148, 694,4496, 254,15754, 910, 856
Hyper-V,  148, 794,4504, 254,15794, 922, 854
Hyper-V,  148, 616,4484, 246,15676, 940, 856
Hyper-V,  148, 624,4510, 246,15666, 912, 844
Hyper-V,  148, 776,4670, 252,15946, 924, 848
Hyper-V,  148, 720,4560, 252,15716, 910, 842
Hyper-V,  148, 670,4494, 246,15716,1364, 862
Hyper-V,  148, 682,4506, 252,16350, 934, 848
Hyper-V,  146, 684,4508, 252,15684, 902, 850
Hyper-V,  148, 628,4506, 244,15662, 934, 848
Hyper-V,  148, 676,4500, 254,15752, 918, 844
Hyper-V,  148, 678,4586, 246,15718, 834, 848
Hyper-V,  148, 718,4506, 250,15956,1410, 848
Hyper-V,  148, 624,4494, 246,15642,1390, 850
Hyper-V,  148, 650,4500, 248,15600,1006, 848
Hyper-V,  148, 694,4506, 252,15628,1350, 848
Hyper-V,  148, 650,4490, 246,15818, 922, 854
Hyper-V,  148, 800,4500, 246,15696, 924, 848
Hyper-V,  148, 720,4502, 246,15664, 918, 848
Hyper-V,  148, 686,4510, 246,15640,1358, 854
Hyper-V,  148, 704,4718, 246,16102, 902, 862
Hyper-V,  148, 734,4506, 246,15602,1498, 852
Hyper-V,  148, 768,4520, 252,15586, 998, 850
Hyper-V,  148, 670,4606, 248,15690,1404, 848
Hyper-V,  148, 710,4498, 246,15616, 954, 858
Hyper-V,  148, 632,4510, 248,15640,1360, 852
Hyper-V,  148, 690,4506, 252,15700, 954, 858
Hyper-V,  148, 800,4498, 246,15616,1360, 854
Hyper-V,  148, 716,4504, 246,15670, 960, 844
Hyper-V,  148, 706,4504, 246,15606, 934, 850
Hyper-V,  148, 724,4504, 246,15590, 908, 854
Hyper-V,  148, 674,4494, 250,15604, 910, 854
Hyper-V,  148, 944,4504, 250,15600, 910, 856
Hyper-V,  148, 696,4510, 248,15742,1458, 854
Hyper-V,  148, 724,4510, 248,15718, 908, 850
Hyper-V,  148, 702,4508, 246,15644, 932, 852
Hyper-V,  148, 720,4500, 246,15592,1022, 854
Hyper-V,  148, 750,4712, 252,15646, 918, 848
Hyper-V,  148, 712,4490, 246,15602, 914, 848
Hyper-V,  148, 652,4504, 246,15584, 900, 852
Hyper-V,  148, 722,4854, 246,15632, 946, 844
Hyper-V,  148, 690,4492, 248,15570, 934, 846
Hyper-V,  148, 696,4496, 246,15574, 908, 856
Hyper-V,  148, 648,4712, 250,15598, 930, 852
Hyper-V,  148, 656,4504, 248,15688,1090, 844
Hyper-V,  148, 640,4502, 246,15634, 978, 850
Hyper-V,  148, 692,4518, 248,15660, 904, 844
Hyper-V,  148, 706,4502, 248,15602, 946, 844
Hyper-V,  148, 678,4496, 252,15678, 902, 852
Hyper-V,  148, 648,4516, 252,15718, 914, 856
Hyper-V,  148, 686,4510, 246,15654, 930, 846
Hyper-V,  148, 686,4500, 252,15716, 938, 858
Hyper-V,  148, 678,4502, 248,15646, 978, 844
Hyper-V,  148, 712,4516, 250,15764, 994, 850
Hyper-V,  148, 752,4498, 246,15662, 930, 852
Hyper-V,  148, 688,4502, 252,15724, 930, 852
Hyper-V,  148, 730,4488, 246,15670, 918, 842
Hyper-V,  148, 678,4504, 252,15670, 904, 844
Hyper-V,  148, 752,4516, 254,15852, 900, 850
Hyper-V,  148, 650,4498, 250,15660, 900, 854
Hyper-V,  148, 754,4494, 246,15918, 904, 846
Hyper-V,  148, 676,4500, 252,15690, 938, 854
Hyper-V,  148, 668,4518, 246,15580, 908, 852
Hyper-V,  148, 700,4602, 252,15690, 834, 844
